biblio_id;judul_buku;kode_ddc;ddc_bersih;program_studi_ddc;program_studi_prediksi;confidence;multilabel_list
36;Belajar bahasa Korea;495.7;495;Umum;Umum;100.0;Umum
39;Belajar Cepat  Microsoft Word 2007;005.3;5;Teknik Informatika & Komputer;Teknik Informatika & Komputer;97.68;Teknik Informatika & Komputer
40;Belajar otodidak word,exel,power point 2007;005.1;5;Teknik Informatika & Komputer;Teknik Informatika & Komputer;100.0;Teknik Informatika & Komputer
41;Berbagai makalah Sistem informasi;026.04;26;Teknik Informatika & Komputer;Teknik Informatika & Komputer;79.92;Teknik Informatika & Komputer
42;Bisnis;650;650;Administrasi Niaga;Administrasi Niaga;100.0;Administrasi Niaga
45;Breaking down;813;813;Umum;Umum;100.0;Umum
46;Builder's detail sheets;691.18;691;Teknik Sipil;Teknik Sipil;91.39;Teknik Sipil
47;Buku Pedoman Transistor;621.382;621;Teknik Elektro;Teknik Elektro;95.31;Teknik Elektro
48;Buku Pegangan tentang Teknik Beton;624;624;Teknik Sipil;Teknik Sipil;100.0;Teknik Sipil
49;Buku pintar penyuntingan naskah Edisi 2;808;808;Umum;Umum;97.91;Umum
50;Business Governence and society;332.3;332;Akuntansi;Akuntansi;73.92;Akuntansi, Umum
51;Business Research Methods;658.007 2;658;Administrasi Niaga;Administrasi Niaga;94.8;Administrasi Niaga
52;Capita selekta aliran-aliran sempalan di Indonesia;297.259;297;Umum;Umum;97.27;Umum
53;Cara cepat memahami akuntansi perbankan syariah berdasarkan PSAK dan PAPSI;657.833 3;657;Akuntansi;Akuntansi;100.0;Akuntansi
54;Cara mudah membangun website interactif...;005.269;5;Teknik Informatika & Komputer;Teknik Informatika & Komputer;100.0;Teknik Informatika & Komputer
55;Catur;794.1;794;Umum;Umum;94.29;Umum
56;Cellular Radio : Analog and Digital Systems;621.384;621;Teknik Elektro;Teknik Elektro;94.37;Teknik Elektro
57;Cendrawasih the unhappy bird of paradise;428.6499;428;Umum;Umum;100.0;Umum
58;Cepat mahir gui matlab;005.1;5;Teknik Informatika & Komputer;Teknik Informatika & Komputer;99.5;Teknik Informatika & Komputer
59;Chicken Soup for The Teenage Soul III;813;813;Umum;Umum;100.0;Umum
60;Circuit analysis;621.381;621;Teknik Elektro;Teknik Elektro;90.79;Teknik Elektro
61;Cloud computing explained;006.78;6;Teknik Informatika & Komputer;Teknik Informatika & Komputer;100.0;Teknik Informatika & Komputer
62;Coal Tar Products & Related Dyes;661.803;661;Teknik Mesin;Teknik Mesin;77.07;Teknik Mesin
63;Coal-fired power generation handbook;621.312;621;Teknik Elektro;Teknik Elektro;71.72;Teknik Elektro, Teknik Mesin
64;Common mistakes in english;421;421;Umum;Umum;100.0;Umum
65;Communication system;621.382;621;Teknik Elektro;Teknik Elektro;93.31;Teknik Elektro
66;Computer Literacy : A hands On Approach;001.642;1;Teknik Informatika & Komputer;Teknik Informatika & Komputer;100.0;Teknik Informatika & Komputer
67;Comunication system;621382;621;Teknik Elektro;Teknik Elektro;100.0;Teknik Elektro
68;Construction management fundamentals;624.063;624;Teknik Sipil;Teknik Sipil;90.99;Teknik Sipil
69;Construction of lower-cost housing;690.032;690;Teknik Sipil;Teknik Sipil;87.48;Teknik Sipil
70;Construction Planning, Equipment, And Methods;624;624;Teknik Sipil;Teknik Sipil;92.0;Teknik Sipil
71;Control systems engineering;621.317;621;Teknik Elektro;Teknik Elektro;55.71;Teknik Elektro, Teknik Mesin, Teknik Informatika & Komputer
72;Daftar Analisa Upah & Bahan BOW;658.3;658;Administrasi Niaga;Administrasi Niaga;98.52;Administrasi Niaga
74;Daftar Analisa Upah Dan Bahan;658.3;658;Administrasi Niaga;Administrasi Niaga;93.84;Administrasi Niaga
75;Daftar analisa upah dan bahan : BOW;658.3;658;Administrasi Niaga;Administrasi Niaga;99.68;Administrasi Niaga
76;Daftar analisa upah dan bangunan;658.3;658;Administrasi Niaga;Administrasi Niaga;86.86;Administrasi Niaga
77;Daftar istilah-istilah untuk kerekayasaan;401.4;401;Umum;Umum;52.13;Umum
78;Dasar Penyusunan Anggaran Biaya Bangunan;658.2;658;Administrasi Niaga;Administrasi Niaga;100.0;Administrasi Niaga
79;Dasar perencanaan pemilihan elemen mesin;621.83;621;Teknik Mesin;Teknik Mesin;95.3;Teknik Mesin
80;Dasar-dasar bahasa Jepang;495.6;495;Umum;Umum;99.54;Umum
81;Dasar-dasar fisika;530;530;Teknik Elektro;Teknik Elektro;100.0;Teknik Elektro
82;Dasar-dasar fisika Jil.2;530;530;Teknik Elektro;Teknik Elektro;93.75;Teknik Elektro
83;Dasar-dasar pemasaran;380.1;380;Administrasi Niaga;Administrasi Niaga;96.45;Administrasi Niaga
84;Dasar-dasar perpajakan dan akuntansi pajak;336.2;336;Akuntansi;Akuntansi;100.0;Akuntansi
85;Data stuctures algoritms and software principles in C;005.133;5;Teknik Informatika & Komputer;Teknik Informatika & Komputer;100.0;Teknik Informatika & Komputer
86;dBase III for Every Business;005.42;5;Teknik Informatika & Komputer;Teknik Informatika & Komputer;100.0;Teknik Informatika & Komputer
87;Dbase III Plus Applications Generator dBase III Plus;001.2;1;Teknik Informatika & Komputer;Teknik Informatika & Komputer;100.0;Teknik Informatika & Komputer
88;dBase IV : Advancing the Wordwide Standard in Data Management Application Development;005.7565;5;Teknik Informatika & Komputer;Teknik Informatika & Komputer;97.36;Teknik Informatika & Komputer
89;Diantara dua batas;813;813;Umum;Umum;100.0;Umum
90;Dictionary of energy technology;620.93;620;Teknik Mesin;Teknik Mesin;89.03;Teknik Mesin
91;Digital electronics;621.382;621;Teknik Elektro;Teknik Elektro;100.0;Teknik Elektro
92;Diktat manajemen perawatan;620.009;620;Teknik Mesin;Teknik Mesin;87.68;Teknik Mesin
93;Disk operating system technical reference Version 3.1 : Programming Famili;005.7;5;Teknik Informatika & Komputer;Teknik Informatika & Komputer;100.0;Teknik Informatika & Komputer
94;Eclipse;813;813;Umum;Umum;100.0;Umum
95;Ekonomi Industri : Kumpulan Kuliah;338.5;338;Administrasi Niaga;Administrasi Niaga;97.53;Administrasi Niaga
96;Ekonomi uang perbankan dasar keuangan;332.1;332;Akuntansi;Akuntansi;100.0;Akuntansi
97;electronic devices and circuit theory;621.381;621;Teknik Elektro;Teknik Elektro;100.0;Teknik Elektro
98;Electronics And Radio Engineering;621.384;621;Teknik Elektro;Teknik Elektro;96.67;Teknik Elektro
100;Elektronika Digital;621.381;621;Teknik Elektro;Teknik Elektro;94.97;Teknik Elektro
101;Elektronika praktis;621.381;621;Teknik Elektro;Teknik Elektro;100.0;Teknik Elektro
102;Elemen Mesin : elemen kontruksi bangunan mesin;621.82;621;Teknik Mesin;Teknik Mesin;98.0;Teknik Mesin
103;Elementary Fluid Mechanics;539.12;539;Teknik Elektro;Teknik Elektro;100.0;Teknik Elektro
104;Employes involment and total quality management;658.562;658;Administrasi Niaga;Administrasi Niaga;93.64;Administrasi Niaga
105;Energi;333.79;333;Administrasi Niaga;Administrasi Niaga;100.0;Administrasi Niaga
106;Engineering Electromagnetics : William H. Hayt;530141;530;Teknik Elektro;Teknik Elektro;98.43;Teknik Elektro
107;Engineering material and metalurgy;669.028;669;Teknik Sipil;Teknik Sipil;77.72;Teknik Sipil, Teknik Mesin
108;Engineering thermodynamics;536.7;536;Teknik Elektro;Teknik Elektro;75.58;Teknik Elektro, Teknik Mesin
109;English for specific purpose dialogues for secretaries 2;428.651;428;Umum;Umum;100.0;Umum
110;enterprise risk management;658.15;658;Administrasi Niaga;Administrasi Niaga;100.0;Administrasi Niaga
111;Entrepreneurship untuk sd;338.04;338;Administrasi Niaga;Administrasi Niaga;86.02;Administrasi Niaga
112;ESQ;152.4;152;Umum;Umum;100.0;Umum
113;Essentials of Business Ethics : creating an organization of high integrity and superior performance;174.4;174;Umum;Umum;95.08;Umum
114;Exploring drafting worksheets : Basic fundamentals;6042;604;Teknik Mesin;Teknik Mesin;89.06;Teknik Mesin
115;Failur mechanisms in semiconductor devices;621.381;621;Teknik Elektro;Teknik Elektro;93.41;Teknik Elektro
116;Faktor-faktor penting dalam pemilihan...;621.4;621;Teknik Mesin;Teknik Mesin;80.1;Teknik Mesin, Teknik Elektro
117;Financial management;658.15;658;Administrasi Niaga;Administrasi Niaga;100.0;Administrasi Niaga
118;Financial Reporting : An Accounting revolution;657.3;657;Akuntansi;Akuntansi;97.38;Akuntansi
119;Fisika untuk Universitas;530;530;Teknik Elektro;Teknik Elektro;100.0;Teknik Elektro
120;Flexographic image reproduction first specifications & tolerances;704.9;704;Teknik Grafika & Penerbitan;Teknik Grafika & Penerbitan;90.48;Teknik Grafika & Penerbitan
121;Fondations of computer science;004;4;Teknik Informatika & Komputer;Teknik Informatika & Komputer;92.43;Teknik Informatika & Komputer
122;Foundamental of financial manajemen;658.15;658;Administrasi Niaga;Administrasi Niaga;100.0;Administrasi Niaga
123;Fundamental of thermal fluid sciences;543.26;543;Teknik Sipil;Teknik Sipil;86.58;Teknik Sipil
124;Fundamentals of human resource management;658.15;658;Administrasi Niaga;Administrasi Niaga;95.84;Administrasi Niaga
126;Geografi Amerika;910.01;910;Umum;Umum;94.96;Umum
127;Getting Started Setting Up Your System : A Tutorial Guide Reference GUide;005.7;5;Teknik Informatika & Komputer;Teknik Informatika & Komputer;99.49;Teknik Informatika & Komputer
128;Getting the most out of your drill press;621952;621;Teknik Mesin;Teknik Mesin;91.66;Teknik Mesin
129;graphic design referenced;741.6;741;Teknik Grafika & Penerbitan;Teknik Grafika & Penerbitan;95.94;Teknik Grafika & Penerbitan
130;Groundwater Hydrology;551.49;551;Sains;Sains;94.81;Sains
131;Hak Asasi Manusia;342.08;342;Umum;Umum;100.0;Umum
132;Hambatan-ha,batan yang mempengaruhi proses belajar mahasiswa;670.1;670;Teknik Mesin;Teknik Mesin;66.74;Teknik Mesin, Umum
134;Handbook of software quality assurance;005.12;5;Teknik Informatika & Komputer;Teknik Informatika & Komputer;94.13;Teknik Informatika & Komputer
135;He lave me, he lave me not;485;485;Umum;Umum;97.92;Umum
136;He Love me, he loves me not;813;813;Umum;Umum;100.0;Umum
137;Heat & mass...transfer;621.402;621;Teknik Mesin;Teknik Mesin;63.49;Teknik Mesin, Teknik Elektro
138;Hidrografi-Satuan Sistetik Gama I;526.99;526;Sains;Sains;85.85;Sains
139;Hidrolika 1;532;532;Teknik Elektro;Teknik Elektro;90.53;Teknik Elektro
140;How to cheat in photoshop;006.69;6;Teknik Informatika & Komputer;Teknik Informatika & Komputer;89.94;Teknik Informatika & Komputer
141;Html, xhtml, and css 7nd complete;005.262;5;Teknik Informatika & Komputer;Teknik Informatika & Komputer;91.18;Teknik Informatika & Komputer
142;Hubungan media yang efektif;659;659;Administrasi Niaga;Administrasi Niaga;76.37;Administrasi Niaga, Umum
143;Hukum anti monopoli;343.072;343;Umum;Umum;85.22;Umum
144;Hukum bisnis MICE;346.07;346;Umum;Umum;92.96;Umum
145;Hukum dan penerbitan;346.04;346;Umum;Umum;94.76;Umum
147;Humor sufi 5;808.882;808;Umum;Umum;100.0;Umum
148;IBM PC and XT User's Handbook;004.16;4;Teknik Informatika & Komputer;Teknik Informatika & Komputer;100.0;Teknik Informatika & Komputer
149;Ilmu Mekanika Teknik;531;531;Teknik Elektro;Teknik Elektro;86.68;Teknik Elektro
150;In Solitude antologi;811;811;Umum;Umum;93.65;Umum
151;Index on high speed automatic screw machine;621.944;621;Teknik Mesin;Teknik Mesin;98.84;Teknik Mesin
152;Industrial electronic;621.3;621;Teknik Elektro;Teknik Elektro;81.89;Teknik Elektro, Teknik Informatika & Komputer
153;Instalasi Listrik;621.32;621;Teknik Elektro;Teknik Elektro;97.42;Teknik Elektro
154;Instrospeksi;150.194;150;Umum;Umum;100.0;Umum
155;Intermediate Accounting;567;567;Sains;Sains;78.45;Sains, Akuntansi
157;Intermediate financial reforting an IFRS perspective;657.3;657;Akuntansi;Akuntansi;100.0;Akuntansi
158;Internet dengan Windows 95 : WSArchie, WSFtp, WSFinger,WSPing, mIRC danMosaic;005.3;5;Teknik Informatika & Komputer;Teknik Informatika & Komputer;100.0;Teknik Informatika & Komputer
159;Introduction to electronics;621.381;621;Teknik Elektro;Teknik Elektro;100.0;Teknik Elektro
160;Introspeksi;150.194;150;Umum;Umum;97.19;Umum
161;Islam agama global;297;297;Umum;Umum;100.0;Umum
162;Islamic finance and banking system;332.1;332;Akuntansi;Akuntansi;95.89;Akuntansi
163;Japan;915.2;915;Umum;Umum;94.8;Umum
164;Jaringan komputer dengan TCP IP;005.754;5;Teknik Informatika & Komputer;Teknik Informatika & Komputer;95.41;Teknik Informatika & Komputer
165;Java how to program;005.13;5;Teknik Informatika & Komputer;Teknik Informatika & Komputer;92.18;Teknik Informatika & Komputer
166;Jejak-jejak juang Falestina;956.94;956;Umum;Umum;99.4;Umum
167;Jejak-jejak juang Palestina;956.94;956;Umum;Umum;78.15;Umum, Teknik Mesin
168;John donne poetry and prose;821;821;Umum;Umum;96.41;Umum
169;Junior Atlas;912.9423;912;Umum;Umum;96.17;Umum
170;Kalkulus : Frank Ayres;515.35;515;Matematika;Matematika;98.13;Matematika
171;KAlkulus dan Geometri...;515.115;515;Matematika;Matematika;100.0;Matematika
172;Kalman Filtering : theory and practice using MATLAB;629.813 2;629;Teknik Mesin;Teknik Mesin;82.26;Teknik Mesin
173;Kamus Lengkap Perdagangan Internasional;413.1;413;Umum;Umum;67.61;Umum, Administrasi Niaga
174;Kapal keruk dan pengerukan;359;359;Umum;Umum;79.75;Umum
175;Kepemimpinan dalam proses belajar mengajar;303.34;303;Umum;Umum;100.0;Umum
176;Kepres No. 17 Tahun 2000 tentang pelaksanaan APBN dan Kepres No. 18 Tahun 2000;342.03;342;Umum;Umum;100.0;Umum
177;Kepribadian;155.2;155;Umum;Umum;100.0;Umum
178;Kepribadian : Teori klasik dan riset...;155.2;155;Umum;Umum;96.7;Umum
179;Kepribadian jilid 1;155.2;155;Umum;Umum;94.74;Umum
180;Kepribadian jilid 2;155.2;155;Umum;Umum;100.0;Umum
181;Kerangka;612.15;612;Umum;Umum;99.96;Umum
182;Kesehatan Populer Reumatik;616.723;616;Umum;Umum;98.22;Umum
183;Ketika cinta bertasbih;813;813;Umum;Umum;98.7;Umum
184;Keuangan perusahaan internasional;332.152;332;Akuntansi;Akuntansi;75.37;Akuntansi, Administrasi Niaga
185;Kewirausawan;338.16;338;Administrasi Niaga;Administrasi Niaga;93.66;Administrasi Niaga
186;Komunikasi data;004.6;4;Teknik Informatika & Komputer;Teknik Informatika & Komputer;100.0;Teknik Informatika & Komputer
187;Kreativitas;153.35;153;Umum;Umum;97.97;Umum
188;Kuda-Kuda : Konstruksi kayu;694;694;Teknik Sipil;Teknik Sipil;92.18;Teknik Sipil
189;LAb View;006;6;Teknik Informatika & Komputer;Teknik Informatika & Komputer;93.69;Teknik Informatika & Komputer
190;Lab View for everyone;006;6;Teknik Informatika & Komputer;Teknik Informatika & Komputer;87.6;Teknik Informatika & Komputer
191;Law and the built environment;346.420;346;Umum;Umum;95.03;Umum
192;Ledakan Amarah;649.6;649;Umum;Umum;94.4;Umum
193;Lembaran Kerja Prektek Acuan dan Perancah;000.82;0;Teknik Informatika & Komputer;Teknik Informatika & Komputer;66.82;Teknik Informatika & Komputer, Teknik Sipil
194;Machin Fundamentals;671.35;671;Teknik Mesin;Teknik Mesin;96.17;Teknik Mesin
195;Makroekonomi;339;339;Administrasi Niaga;Administrasi Niaga;100.0;Administrasi Niaga
198;Makroekonomi modern;339;339;Administrasi Niaga;Administrasi Niaga;100.0;Administrasi Niaga
200;Manajemen;658;658;Administrasi Niaga;Administrasi Niaga;100.0;Administrasi Niaga
201;Manajemen keuangan 1;658.15;658;Administrasi Niaga;Administrasi Niaga;100.0;Administrasi Niaga
202;MAnajemen keuangan internasional jilid 1,2;658.15;658;Administrasi Niaga;Administrasi Niaga;100.0;Administrasi Niaga
203;Manajemen lembaga keuangan;658.1;658;Administrasi Niaga;Administrasi Niaga;86.06;Administrasi Niaga
204;Manajemen Pembelanjaan Dan Kebijaksanaan;658.1;658;Administrasi Niaga;Administrasi Niaga;100.0;Administrasi Niaga
205;Manajemen Perilaku Organisasi : Pendayagunaan Sumber Daya Manusia;658;658;Administrasi Niaga;Administrasi Niaga;100.0;Administrasi Niaga
206;Manajemen prilaku organisasi;658;658;Administrasi Niaga;Administrasi Niaga;93.56;Administrasi Niaga
207;Manajemen proyek jilid 1;658;658;Administrasi Niaga;Administrasi Niaga;100.0;Administrasi Niaga
208;Manajemen Strategi : Suatu pendekatan sistem;658.4;658;Administrasi Niaga;Administrasi Niaga;100.0;Administrasi Niaga
209;Manual rigging : Punggah;630.134;630;Umum;Umum;61.53;Umum, Teknik Mesin
210;Manufaturing processes;670;670;Teknik Mesin;Teknik Mesin;99.83;Teknik Mesin
211;Marketing strategy : A decision folured approach;658.802;658;Administrasi Niaga;Administrasi Niaga;100.0;Administrasi Niaga
213;Materials Technology for Technician 3;620.11;620;Teknik Mesin;Teknik Mesin;100.0;Teknik Mesin
214;MAthemakes for economics;510;510;Matematika;Matematika;88.09;Matematika
215;Mathematics 2 Checkbook;510;510;Matematika;Matematika;100.0;Matematika
216;Mekanika Tanah dalam Praktek Rekayasa jilid 2;624.15;624;Teknik Sipil;Teknik Sipil;100.0;Teknik Sipil
217;Mekanika Teknik : Analis perpindahan pada struktur dengan exel dan calculator;620.5;620;Teknik Mesin;Teknik Mesin;77.43;Teknik Mesin, Teknik Sipil
218;Mekanika teknik II Jilid 1 : Soal dan penyelesaian;620.1;620;Teknik Mesin;Teknik Mesin;94.45;Teknik Mesin
219;Menangani lalulintas;363.233 2;363;Umum;Umum;93.08;Umum
220;Mendayagunakan peran-peran keorganisasian : Tinjauan atas teori motivasi dan efektivitas peran untuk mengoptimalkan potensi karyawan;351.1;351;Umum;Umum;71.92;Umum, Administrasi Niaga
221;Mengenal hukum : Suatu pengantar;340;340;Umum;Umum;86.89;Umum
222;Menguasai Autocad 2009;005.73;5;Teknik Informatika & Komputer;Teknik Informatika & Komputer;100.0;Teknik Informatika & Komputer
223;Menguasai java programming;005.3;5;Teknik Informatika & Komputer;Teknik Informatika & Komputer;100.0;Teknik Informatika & Komputer
224;Merakit PLC dengan mikrokontroler;629.89;629;Teknik Mesin;Teknik Mesin;80.63;Teknik Mesin, Teknik Informatika & Komputer
225;Merangkai Komputer Pribadi;621.39;621;Teknik Elektro;Teknik Elektro;80.65;Teknik Elektro, Teknik Informatika & Komputer
226;Merenungi kiprah polri dalam tragedi trisakti;959.8;959;Umum;Umum;100.0;Umum
227;Merintis RI yang manusiawi;959.8;959;Umum;Umum;100.0;Umum
228;Metode Harga Pokok Proses;657.42;657;Akuntansi;Akuntansi;100.0;Akuntansi
229;Metode pengukuran teknik;530.160;530;Teknik Elektro;Teknik Elektro;99.69;Teknik Elektro
230;Microsoft office 2000 6 in 1;005.369;5;Teknik Informatika & Komputer;Teknik Informatika & Komputer;95.25;Teknik Informatika & Komputer
231;Microsoft Office access 2007;005.369;5;Teknik Informatika & Komputer;Teknik Informatika & Komputer;100.0;Teknik Informatika & Komputer
232;Microsoft office power point 2007;003.369;3;Teknik Informatika & Komputer;Teknik Informatika & Komputer;98.31;Teknik Informatika & Komputer
233;Microsoft Outlock 98;005.369;5;Teknik Informatika & Komputer;Teknik Informatika & Komputer;92.67;Teknik Informatika & Komputer
234;Microsoft windows NT;005.3;5;Teknik Informatika & Komputer;Teknik Informatika & Komputer;100.0;Teknik Informatika & Komputer
235;Microsoft word 2007;005.369;5;Teknik Informatika & Komputer;Teknik Informatika & Komputer;95.63;Teknik Informatika & Komputer
236;Mikrkontroller;005.12;5;Teknik Informatika & Komputer;Teknik Informatika & Komputer;80.2;Teknik Informatika & Komputer, Teknik Elektro
237;Mikroprosesor intel;004.165;4;Teknik Informatika & Komputer;Teknik Informatika & Komputer;95.2;Teknik Informatika & Komputer
238;Mimpi-mimpi lintang;813;813;Umum;Umum;100.0;Umum
240;Modern control engineering;620.1;620;Teknik Mesin;Teknik Mesin;83.33;Teknik Mesin, Teknik Informatika & Komputer
241;Modular programme for supevisory development : Safety and health;363.11;363;Umum;Umum;100.0;Umum
242;Namaku Hiroko;813;813;Umum;Umum;100.0;Umum
243;New English Course 2 : Progress Quizzes;428.076;428;Umum;Umum;100.0;Umum
244;New Moon;813;813;Umum;Umum;96.38;Umum
245;Occupational health and safety back care education pragram;363.11;363;Umum;Umum;98.92;Umum
247;Online Marketing;658.872;658;Administrasi Niaga;Administrasi Niaga;98.98;Administrasi Niaga
248;Op Amps and linear integrated circuits;621.381 73;621;Teknik Elektro;Teknik Elektro;100.0;Teknik Elektro
249;Open-Channel Hydraulics;5321;532;Teknik Elektro;Teknik Elektro;73.49;Teknik Elektro, Teknik Sipil
250;Operating systems;005.43;5;Teknik Informatika & Komputer;Teknik Informatika & Komputer;97.77;Teknik Informatika & Komputer
251;Optimal Control;621.831;621;Teknik Mesin;Teknik Mesin;89.01;Teknik Mesin
252;Organisasi dan manajemen2;658;658;Administrasi Niaga;Administrasi Niaga;100.0;Administrasi Niaga
253;Organizational behavior;658;658;Administrasi Niaga;Administrasi Niaga;95.81;Administrasi Niaga
254;Pajak dan strategi bisnis;336.241;336;Akuntansi;Akuntansi;94.93;Akuntansi
256;Pangeran Sambernyowo;959.8;959;Umum;Umum;98.47;Umum
257;PC 99 system design guide;005.369;5;Teknik Informatika & Komputer;Teknik Informatika & Komputer;100.0;Teknik Informatika & Komputer
258;Pemahaman dan implementasi hukum ketenaga kerjaan;340;340;Umum;Umum;92.77;Umum
259;Pemprograman virus dan sfiwer;005.3;5;Teknik Informatika & Komputer;Teknik Informatika & Komputer;100.0;Teknik Informatika & Komputer
260;Pemrograman bahasa asembly;005.136;5;Teknik Informatika & Komputer;Teknik Informatika & Komputer;100.0;Teknik Informatika & Komputer
261;Pengantar akuntansi 1;657;657;Akuntansi;Akuntansi;100.0;Akuntansi
262;Pengantar akuntansi buku 2;657;657;Akuntansi;Akuntansi;97.27;Akuntansi
263;Pengantar akuntansi syariah;657;657;Akuntansi;Akuntansi;99.88;Akuntansi
264;Pengantar Analisis Mengenai Dampak Lingkungan Hidup;363.7;363;Umum;Umum;67.43;Umum, Teknik Sipil
265;Pengantar jaringan komputer;004.65;4;Teknik Informatika & Komputer;Teknik Informatika & Komputer;100.0;Teknik Informatika & Komputer
266;Pengantar psikologi umum;150;150;Umum;Umum;92.52;Umum
268;Penuntun pengelolaan hardisk;005;5;Teknik Informatika & Komputer;Teknik Informatika & Komputer;100.0;Teknik Informatika & Komputer
269;Penuntun praktis  perencanaan teknik jalan raya;625.7;625;Teknik Sipil;Teknik Sipil;100.0;Teknik Sipil
270;Penyusunan standar pola kemitraan di unit penelitian dan pengabdian kepada masyarakat Politeknik Negeri Jakarta;001.4;1;Teknik Informatika & Komputer;Teknik Informatika & Komputer;73.67;Teknik Informatika & Komputer
271;Peranan rumpun gema perempuan dalam upaya...;153.8;153;Umum;Umum;100.0;Umum
273;Perekonomian Indonesia : Teori temuan empiris;338.958;338;Administrasi Niaga;Administrasi Niaga;100.0;Administrasi Niaga
274;Perencanaa teknik mesin;621.092;621;Teknik Mesin;Teknik Mesin;99.57;Teknik Mesin
275;Permainan air;797.21;797;Umum;Umum;92.24;Umum
276;Permulaan Belajar Menggambar : perspektif-Pemandangan alam benda bergerak-anatomi;741.2;741;Teknik Grafika & Penerbitan;Teknik Grafika & Penerbitan;82.15;Teknik Grafika & Penerbitan
277;PFS : Profesional File;005.74;5;Teknik Informatika & Komputer;Teknik Informatika & Komputer;100.0;Teknik Informatika & Komputer
278;PHP and MySQL web;005.276 2;5;Teknik Informatika & Komputer;Teknik Informatika & Komputer;100.0;Teknik Informatika & Komputer
279;Pig and lamb cutting : A step by step guide;641.366;641;Umum;Umum;89.8;Umum
280;PLC : Programablr logic control;629.89;629;Teknik Mesin;Teknik Mesin;82.67;Teknik Mesin, Teknik Informatika & Komputer
281;Pokok-pokok hukum hak tanggungan atas ...;346.0432;346;Umum;Umum;94.17;Umum
282;Pondasi tiang pancang;524.154;524;Sains;Sains;65.08;Sains, Teknik Sipil
283;Power electronics;621.382;621;Teknik Elektro;Teknik Elektro;93.54;Teknik Elektro
284;PPH;336.24;336;Akuntansi;Akuntansi;89.86;Akuntansi
